,dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,pop,rain
0,1694271600,26.94,30.07,1011,85,24.2,0.0,62,10000,2.94,165,3.4,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.09,
1,1694275200,26.65,26.65,1011,88,24.5,0.0,75,10000,2.87,161,3.28,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.09,
2,1694278800,26.83,29.8,1011,85,24.09,0.0,62,10000,2.32,166,2.63,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.12,
3,1694282400,27.0,29.93,1010,82,23.66,0.0,50,10000,2.48,176,2.91,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0.22,
4,1694286000,27.06,29.87,1010,80,23.31,0.0,44,10000,2.31,170,2.67,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",0.59,{'1h': 0.17}
5,1694289600,26.95,29.63,1009,80,23.2,0.0,51,10000,2.49,172,3.01,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",0.8,{'1h': 1.15}
6,1694293200,26.96,29.47,1009,78,22.81,0.0,53,10000,2.19,172,2.64,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",0.96,{'1h': 0.47}
7,1694296800,27.14,29.65,1009,76,22.65,0.0,60,10000,2.55,183,3.02,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",0.96,{'1h': 0.76}
8,1694300400,27.18,29.74,1010,76,22.59,0.0,66,10000,3.0,183,3.57,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",0.96,{'1h': 0.31}
9,1694304000,27.64,30.46,1011,74,22.68,0.49,66,10000,3.04,187,3.81,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",0.96,{'1h': 0.34}
10,1694307600,28.13,31.2,1011,72,22.64,2.12,98,10000,3.29,196,4.07,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.37,
11,1694311200,28.52,31.55,1012,69,22.46,5.17,98,10000,3.4,202,4.07,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",0.57,{'1h': 0.17}
